EventID,EventTimestamp,Name,Team,Category,Time (ms),RankBefore,RankEvent,Position
3054484,1661015400,Matthew Ladd,COALITION,A,2087000,172.34,,1
3054484,1661015400,Knox Whipple,,B,2129000,425.18,403.26,1
3054484,1661015400,Matthias Packeiser (HCH.CC),HCH.CC,B,2133000,,435.17,2
3054484,1661015400,Alexandre Magnie,,B,2139000,,467.08,3
3054484,1661015400,Erik Dam,,B,2144000,369.54,498.99,4
3054484,1661015400,J. M.,last,B,2199000,309.84,530.90,5
3054484,1661015400,Patric Burger,,B,2441000,535.79,562.81,6
3054484,1661015400,Graeme Hutchison (WKG BLACK),teamWKG,C,2227000,541.26,424.11,1
3054484,1661015400,Keevin Griffith,,C,2236000,506.39,446.80,2
3054484,1661015400,JÃ¼rgen Malucha,,C,2260000,404.58,492.17,3
3054484,1661015400,Sean Campbell,,C,2339000,386.15,514.85,4
3054484,1661015400,Jerry Du,,C,2363000,596.82,537.54,5
3054484,1661015400,Hans Whipple,,C,2387000,524.21,560.22,6
3054484,1661015400,Les B (Kites),Team CRYO-GEN,D,2619000,568.14,,1
3054484,1661015400,Kevin Velik,,D,2683000,570.43,,2
3054484,1661015400,Nirvan Tyagi,,D,2718000,598.89,,3
3054484,1661015400,Will Albright,,D,2799000,599.52,,4
